-------------------------------------------------------------------------------
NVIDIA devices
-------------------------------------------------------------------------------
  R480 (R480_5D50), PCI_ID=5d50
  R480 (R480_5D52), PCI_ID=5d52
  R481 (R481_4B48), PCI_ID=4b48
  R481 (R481_4B49), PCI_ID=4b49
  R481 (R481_4B4A), PCI_ID=4b4a
  R481 (R481_4B4B), PCI_ID=4b4b
  R481 (R481_4B4C), PCI_ID=4b4c
  RV410 (RV410_564A), PCI_ID=564a
  RV410 (RV410_564B), PCI_ID=564b
  RV410 (RV410_564F), PCI_ID=564f
  RV410 (RV410_5652), PCI_ID=5652
  RV410 (RV410_5653), PCI_ID=5653
  RV410 (RV410_5657), PCI_ID=5657
  RV410 (RV410_5E48), PCI_ID=5e48
  RV410 (RV410_5E4A), PCI_ID=5e4a
  RV410 (RV410_5E4B), PCI_ID=5e4b
  RV410 (RV410_5E4C), PCI_ID=5e4c
  RV410 (RV410_5E4D), PCI_ID=5e4d
  RV410 (RV410_5E4F), PCI_ID=5e4f
  RS400 (RS400_5A41), PCI_ID=5a41
  RS400 (RS400_5A42), PCI_ID=5a42
  RC410 (RC410_5A61), PCI_ID=5a61
  RC410 (RC410_5A62), PCI_ID=5a62
  RS480 (RS480_5954), PCI_ID=5954
  RS480 (RS480_5955), PCI_ID=5955
  RS480 (RS482_5974), PCI_ID=5974
  RS480 (RS482_5975), PCI_ID=5975
  R520 (R520_7100), PCI_ID=7100
  R520 (R520_7101), PCI_ID=7101
  R520 (R520_7102), PCI_ID=7102
  R520 (R520_7103), PCI_ID=7103
  R520 (R520_7104), PCI_ID=7104
  R520 (R520_7105), PCI_ID=7105
  R520 (R520_7106), PCI_ID=7106
  R520 (R520_7108), PCI_ID=7108
  R520 (R520_7109), PCI_ID=7109
  R520 (R520_710A), PCI_ID=710a
  R520 (R520_710B), PCI_ID=710b
  R520 (R520_710C), PCI_ID=710c
  R520 (R520_710E), PCI_ID=710e
  R520 (R520_710F), PCI_ID=710f
  RV515 (RV515_7140), PCI_ID=7140
  RV515 (RV515_7141), PCI_ID=7141
  RV515 (RV515_7142), PCI_ID=7142
  RV515 (RV515_7143), PCI_ID=7143
  RV515 (RV515_7144), PCI_ID=7144
  RV515 (RV515_7145), PCI_ID=7145
  RV515 (RV515_7146), PCI_ID=7146
  RV515 (RV515_7147), PCI_ID=7147
  RV515 (RV515_7149), PCI_ID=7149
  RV515 (RV515_714A), PCI_ID=714a
  RV515 (RV515_714B), PCI_ID=714b
  RV515 (RV515_714C), PCI_ID=714c
  RV515 (RV515_714D), PCI_ID=714d
  RV515 (RV515_714E), PCI_ID=714e
  RV515 (RV515_714F), PCI_ID=714f
  RV515 (RV515_7151), PCI_ID=7151
  RV515 (RV515_7152), PCI_ID=7152
  RV515 (RV515_7153), PCI_ID=7153
  RV515 (RV515_715E), PCI_ID=715e
  RV515 (RV515_715F), PCI_ID=715f
  RV515 (RV515_7180), PCI_ID=7180
  RV515 (RV515_7181), PCI_ID=7181
  RV515 (RV515_7183), PCI_ID=7183
  RV515 (RV515_7186), PCI_ID=7186
  RV515 (RV515_7187), PCI_ID=7187
  RV515 (RV515_7188), PCI_ID=7188
  RV515 (RV515_718A), PCI_ID=718a
  RV515 (RV515_718B), PCI_ID=718b
  RV515 (RV515_718C), PCI_ID=718c
  RV515 (RV515_718D), PCI_ID=718d
  RV515 (RV515_718F), PCI_ID=718f
  RV515 (RV515_7193), PCI_ID=7193
  RV515 (RV515_7196), PCI_ID=7196
  RV515 (RV515_719B), PCI_ID=719b
  RV515 (RV515_719F), PCI_ID=719f
  RV515 (RV515_7200), PCI_ID=7200
  RV515 (RV515_7210), PCI_ID=7210
  RV515 (RV515_7211), PCI_ID=7211
  RV530 (RV530_71C0), PCI_ID=71c0
  RV530 (RV530_71C1), PCI_ID=71c1
  RV530 (RV530_71C2), PCI_ID=71c2
  RV530 (RV530_71C3), PCI_ID=71c3
  RV530 (RV530_71C4), PCI_ID=71c4
  RV530 (RV530_71C5), PCI_ID=71c5
  RV530 (RV530_71C6), PCI_ID=71c6
  RV530 (RV530_71C7), PCI_ID=71c7
  RV530 (RV530_71CD), PCI_ID=71cd
  RV530 (RV530_71CE), PCI_ID=71ce
  RV530 (RV530_71D2), PCI_ID=71d2
  RV530 (RV530_71D4), PCI_ID=71d4
  RV530 (RV530_71D5), PCI_ID=71d5
  RV530 (RV530_71D6), PCI_ID=71d6
  RV530 (RV530_71DA), PCI_ID=71da
  RV530 (RV530_71DE), PCI_ID=71de
  RV560 (RV560_7281), PCI_ID=7281
  RV560 (RV560_7283), PCI_ID=7283
  RV560 (RV560_7287), PCI_ID=7287
  RV560 (RV560_7290), PCI_ID=7290
  RV560 (RV560_7291), PCI_ID=7291
  RV560 (RV560_7293), PCI_ID=7293
  RV560 (RV560_7297), PCI_ID=7297
  RV570 (RV570_7280), PCI_ID=7280
  RV570 (RV570_7288), PCI_ID=7288
  RV570 (RV570_7289), PCI_ID=7289
  RV570 (RV570_728B), PCI_ID=728b
  RV570 (RV570_728C), PCI_ID=728c
  R580 (R580_7240), PCI_ID=7240
  R580 (R580_7243), PCI_ID=7243
  R580 (R580_7244), PCI_ID=7244
  R580 (R580_7245), PCI_ID=7245
  R580 (R580_7246), PCI_ID=7246
  R580 (R580_7247), PCI_ID=7247
  R580 (R580_7248), PCI_ID=7248
  R580 (R580_7249), PCI_ID=7249
  R580 (R580_724A), PCI_ID=724a
  R580 (R580_724B), PCI_ID=724b
  R580 (R580_724C), PCI_ID=724c
  R580 (R580_724D), PCI_ID=724d
  R580 (R580_724E), PCI_ID=724e
  R580 (R580_724F), PCI_ID=724f
  R580 (R580_7284), PCI_ID=7284
  RS600 (RS600_793F), PCI_ID=793f
  RS600 (RS600_7941), PCI_ID=7941
  RS600 (RS600_7942), PCI_ID=7942
  RS690 (RS690_791E), PCI_ID=791e
  RS690 (RS690_791F), PCI_ID=791f
  RS740 (RS740_796C), PCI_ID=796c
  RS740 (RS740_796D), PCI_ID=796d
  RS740 (RS740_796E), PCI_ID=796e
  RS740 (RS740_796F), PCI_ID=796f
  R600 (R600_9400), PCI_ID=9400
  R600 (R600_9401), PCI_ID=9401
  R600 (R600_9402), PCI_ID=9402
  R600 (R600_9403), PCI_ID=9403
  R600 (R600_9405), PCI_ID=9405
  R600 (R600_940A), PCI_ID=940a
  R600 (R600_940B), PCI_ID=940b
  R600 (R600_940F), PCI_ID=940f
  RV610 (RV610_94C0), PCI_ID=94c0
  RV610 (RV610_94C1), PCI_ID=94c1
  RV610 (RV610_94C3), PCI_ID=94c3
  RV610 (RV610_94C4), PCI_ID=94c4
  RV610 (RV610_94C5), PCI_ID=94c5
  RV610 (RV610_94C6), PCI_ID=94c6
  RV610 (RV610_94C7), PCI_ID=94c7
  RV610 (RV610_94C8), PCI_ID=94c8
  RV610 (RV610_94C9), PCI_ID=94c9
  RV610 (RV610_94CB), PCI_ID=94cb
  RV610 (RV610_94CC), PCI_ID=94cc
  RV610 (RV610_94CD), PCI_ID=94cd
  RV630 (RV630_9580), PCI_ID=9580
  RV630 (RV630_9581), PCI_ID=9581
  RV630 (RV630_9583), PCI_ID=9583
  RV630 (RV630_9586), PCI_ID=9586
  RV630 (RV630_9587), PCI_ID=9587
  RV630 (RV630_9588), PCI_ID=9588
  RV630 (RV630_9589), PCI_ID=9589
  RV630 (RV630_958A), PCI_ID=958a
  RV630 (RV630_958B), PCI_ID=958b
  RV630 (RV630_958C), PCI_ID=958c
  RV630 (RV630_958D), PCI_ID=958d
  RV630 (RV630_958E), PCI_ID=958e
  RV630 (RV630_958F), PCI_ID=958f
  RV670 (RV670_9500), PCI_ID=9500
  RV670 (RV670_9501), PCI_ID=9501
  RV670 (RV670_9504), PCI_ID=9504
  RV670 (RV670_9505), PCI_ID=9505
  RV670 (RV670_9506), PCI_ID=9506
  RV670 (RV670_9507), PCI_ID=9507
  RV670 (RV670_9508), PCI_ID=9508
  RV670 (RV670_9509), PCI_ID=9509
  RV670 (RV670_950F), PCI_ID=950f
  RV670 (RV670_9511), PCI_ID=9511
  RV670 (RV670_9515), PCI_ID=9515
  RV670 (RV670_9517), PCI_ID=9517
  RV670 (RV670_9519), PCI_ID=9519
  RV620 (RV620_95C0), PCI_ID=95c0
  RV620 (RV620_95C2), PCI_ID=95c2
  RV620 (RV620_95C4), PCI_ID=95c4
  RV620 (RV620_95C5), PCI_ID=95c5
  RV620 (RV620_95C6), PCI_ID=95c6
  RV620 (RV620_95C7), PCI_ID=95c7
  RV620 (RV620_95C9), PCI_ID=95c9
  RV620 (RV620_95CC), PCI_ID=95cc
  RV620 (RV620_95CD), PCI_ID=95cd
  RV620 (RV620_95CE), PCI_ID=95ce
  RV620 (RV620_95CF), PCI_ID=95cf
  RV635 (RV635_9590), PCI_ID=9590
  RV635 (RV635_9591), PCI_ID=9591
  RV635 (RV635_9593), PCI_ID=9593
  RV635 (RV635_9595), PCI_ID=9595
  RV635 (RV635_9596), PCI_ID=9596
  RV635 (RV635_9597), PCI_ID=9597
  RV635 (RV635_9598), PCI_ID=9598
  RV635 (RV635_9599), PCI_ID=9599
  RV635 (RV635_959B), PCI_ID=959b
  RS780 (RS780_9610), PCI_ID=9610
  RS780 (RS780_9611), PCI_ID=9611
  RS780 (RS780_9612), PCI_ID=9612
  RS780 (RS780_9613), PCI_ID=9613
  RS780 (RS780_9614), PCI_ID=9614
  RS780 (RS780_9615), PCI_ID=9615
  RS780 (RS780_9616), PCI_ID=9616
  RS880 (RS880_9710), PCI_ID=9710, (HW Video Decode)
  RS880 (RS880_9711), PCI_ID=9711, (HW Video Decode)
  RS880 (RS880_9712), PCI_ID=9712, (HW Video Decode)
  RS880 (RS880_9713), PCI_ID=9713, (HW Video Decode)
  RS880 (RS880_9714), PCI_ID=9714, (HW Video Decode)
  RS880 (RS880_9715), PCI_ID=9715, (HW Video Decode)
  RV770 (RV770_9440), PCI_ID=9440
  RV770 (RV770_9441), PCI_ID=9441
  RV770 (RV770_9442), PCI_ID=9442
  RV770 (RV770_9443), PCI_ID=9443
  RV770 (RV770_9444), PCI_ID=9444
  RV770 (RV770_9446), PCI_ID=9446
  RV770 (RV770_944A), PCI_ID=944a
  RV770 (RV770_944B), PCI_ID=944b
  RV770 (RV770_944C), PCI_ID=944c
  RV770 (RV770_944E), PCI_ID=944e
  RV770 (RV770_9450), PCI_ID=9450
  RV770 (RV770_9452), PCI_ID=9452
  RV770 (RV770_9456), PCI_ID=9456
  RV770 (RV770_945A), PCI_ID=945a
  RV770 (RV770_945B), PCI_ID=945b
  RV770 (RV770_945E), PCI_ID=945e
  RV770 (RV790_9460), PCI_ID=9460
  RV770 (RV790_9462), PCI_ID=9462
  RV770 (RV770_946A), PCI_ID=946a
  RV770 (RV770_946B), PCI_ID=946b
  RV770 (RV770_947A), PCI_ID=947a
  RV770 (RV770_947B), PCI_ID=947b
  RV730 (RV730_9480), PCI_ID=9480, (HW Video Decode)
  RV730 (RV730_9487), PCI_ID=9487, (HW Video Decode)
  RV730 (RV730_9488), PCI_ID=9488, (HW Video Decode)
  RV730 (RV730_9489), PCI_ID=9489, (HW Video Decode)
  RV730 (RV730_948A), PCI_ID=948a, (HW Video Decode)
  RV730 (RV730_948F), PCI_ID=948f, (HW Video Decode)
  RV730 (RV730_9490), PCI_ID=9490, (HW Video Decode)
  RV730 (RV730_9491), PCI_ID=9491, (HW Video Decode)
  RV730 (RV730_9495), PCI_ID=9495, (HW Video Decode)
  RV730 (RV730_9498), PCI_ID=9498, (HW Video Decode)
  RV730 (RV730_949C), PCI_ID=949c, (HW Video Decode)
  RV730 (RV730_949E), PCI_ID=949e, (HW Video Decode)
  RV730 (RV730_949F), PCI_ID=949f, (HW Video Decode)
  RV710 (RV710_9540), PCI_ID=9540, (HW Video Decode)
  RV710 (RV710_9541), PCI_ID=9541, (HW Video Decode)
  RV710 (RV710_9542), PCI_ID=9542, (HW Video Decode)
  RV710 (RV710_954E), PCI_ID=954e, (HW Video Decode)
  RV710 (RV710_954F), PCI_ID=954f, (HW Video Decode)
  RV710 (RV710_9552), PCI_ID=9552, (HW Video Decode)
  RV710 (RV710_9553), PCI_ID=9553, (HW Video Decode)
  RV710 (RV710_9555), PCI_ID=9555, (HW Video Decode)
  RV710 (RV710_9557), PCI_ID=9557, (HW Video Decode)
  RV710 (RV710_955F), PCI_ID=955f, (HW Video Decode)
  RV740 (RV740_94A0), PCI_ID=94a0, (HW Video Decode)
  RV740 (RV740_94A1), PCI_ID=94a1, (HW Video Decode)
  RV740 (RV740_94A3), PCI_ID=94a3, (HW Video Decode)
  RV740 (RV740_94B1), PCI_ID=94b1, (HW Video Decode)
  RV740 (RV740_94B3), PCI_ID=94b3, (HW Video Decode)
  RV740 (RV740_94B4), PCI_ID=94b4, (HW Video Decode)
  RV740 (RV740_94B5), PCI_ID=94b5, (HW Video Decode)
  RV740 (RV740_94B9), PCI_ID=94b9, (HW Video Decode)
  CEDAR (CEDAR_68E0), PCI_ID=68e0, (HW Video Decode)
  CEDAR (CEDAR_68E1), PCI_ID=68e1, (HW Video Decode)
  CEDAR (CEDAR_68E4), PCI_ID=68e4, (HW Video Decode)
  CEDAR (CEDAR_68E5), PCI_ID=68e5, (HW Video Decode)
  CEDAR (CEDAR_68E8), PCI_ID=68e8, (HW Video Decode)
  CEDAR (CEDAR_68E9), PCI_ID=68e9, (HW Video Decode)
  CEDAR (CEDAR_68F1), PCI_ID=68f1, (HW Video Decode)
  CEDAR (CEDAR_68F2), PCI_ID=68f2, (HW Video Decode)
  CEDAR (CEDAR_68F8), PCI_ID=68f8, (HW Video Decode)
  CEDAR (CEDAR_68F9), PCI_ID=68f9, (HW Video Decode)
  CEDAR (CEDAR_68FA), PCI_ID=68fa, (HW Video Decode)
  CEDAR (CEDAR_68FE), PCI_ID=68fe, (HW Video Decode)
  REDWOOD (REDWOOD_68C0), PCI_ID=68c0, (HW Video Decode)
  REDWOOD (REDWOOD_68C1), PCI_ID=68c1, (HW Video Decode)
  REDWOOD (REDWOOD_68C7), PCI_ID=68c7, (HW Video Decode)
  REDWOOD (REDWOOD_68C8), PCI_ID=68c8, (HW Video Decode)
  REDWOOD (REDWOOD_68C9), PCI_ID=68c9, (HW Video Decode)
  REDWOOD (REDWOOD_68D8), PCI_ID=68d8, (HW Video Decode)
  REDWOOD (REDWOOD_68D9), PCI_ID=68d9, (HW Video Decode)
  REDWOOD (REDWOOD_68DA), PCI_ID=68da, (HW Video Decode)
  REDWOOD (REDWOOD_68DE), PCI_ID=68de, (HW Video Decode)
  JUNIPER (JUNIPER_68A0), PCI_ID=68a0, (HW Video Decode)
  JUNIPER (JUNIPER_68A1), PCI_ID=68a1, (HW Video Decode)
  JUNIPER (JUNIPER_68A8), PCI_ID=68a8, (HW Video Decode)
  JUNIPER (JUNIPER_68A9), PCI_ID=68a9, (HW Video Decode)
  JUNIPER (JUNIPER_68B0), PCI_ID=68b0, (HW Video Decode)
  JUNIPER (JUNIPER_68B8), PCI_ID=68b8, (HW Video Decode)
  JUNIPER (JUNIPER_68B9), PCI_ID=68b9, (HW Video Decode)
  JUNIPER (JUNIPER_68BA), PCI_ID=68ba, (HW Video Decode)
  JUNIPER (JUNIPER_68BE), PCI_ID=68be, (HW Video Decode)
  JUNIPER (JUNIPER_68BF), PCI_ID=68bf, (HW Video Decode)
  CYPRESS (CYPRESS_6880), PCI_ID=6880, (HW Video Decode)
  CYPRESS (CYPRESS_6888), PCI_ID=6888, (HW Video Decode)
  CYPRESS (CYPRESS_6889), PCI_ID=6889, (HW Video Decode)
  CYPRESS (CYPRESS_688A), PCI_ID=688a, (HW Video Decode)
  CYPRESS (CYPRESS_688C), PCI_ID=688c, (HW Video Decode)
  CYPRESS (CYPRESS_688D), PCI_ID=688d, (HW Video Decode)
  CYPRESS (CYPRESS_6898), PCI_ID=6898, (HW Video Decode)
  CYPRESS (CYPRESS_6899), PCI_ID=6899, (HW Video Decode)
  CYPRESS (CYPRESS_689B), PCI_ID=689b, (HW Video Decode)
  CYPRESS (CYPRESS_689E), PCI_ID=689e, (HW Video Decode)
  HEMLOCK (HEMLOCK_689C), PCI_ID=689c, (HW Video Decode)
  HEMLOCK (HEMLOCK_689D), PCI_ID=689d, (HW Video Decode)
  PALM (PALM_9802), PCI_ID=9802, (HW Video Decode)
  PALM (PALM_9803), PCI_ID=9803, (HW Video Decode)
  PALM (PALM_9804), PCI_ID=9804, (HW Video Decode)
  PALM (PALM_9805), PCI_ID=9805, (HW Video Decode)
  PALM (PALM_9806), PCI_ID=9806, (HW Video Decode)
  PALM (PALM_9807), PCI_ID=9807, (HW Video Decode)
  PALM (PALM_9808), PCI_ID=9808, (HW Video Decode)
  PALM (PALM_9809), PCI_ID=9809, (HW Video Decode)
  PALM (PALM_980A), PCI_ID=980a, (HW Video Decode)
  SUMO (SUMO_9640), PCI_ID=9640, (HW Video Decode)
  SUMO (SUMO_9641), PCI_ID=9641, (HW Video Decode)
  SUMO2 (SUMO2_9642), PCI_ID=9642, (HW Video Decode)
  SUMO2 (SUMO2_9643), PCI_ID=9643, (HW Video Decode)
  SUMO2 (SUMO2_9644), PCI_ID=9644, (HW Video Decode)
  SUMO2 (SUMO2_9645), PCI_ID=9645, (HW Video Decode)
  SUMO (SUMO_9647), PCI_ID=9647, (HW Video Decode)
  SUMO (SUMO_9648), PCI_ID=9648, (HW Video Decode)
  SUMO2 (SUMO2_9649), PCI_ID=9649, (HW Video Decode)
  SUMO (SUMO_964A), PCI_ID=964a, (HW Video Decode)
  SUMO (SUMO_964B), PCI_ID=964b, (HW Video Decode)
  SUMO (SUMO_964C), PCI_ID=964c, (HW Video Decode)
  SUMO (SUMO_964E), PCI_ID=964e, (HW Video Decode)
  SUMO (SUMO_964F), PCI_ID=964f, (HW Video Decode)
  CAYMAN (CAYMAN_6700), PCI_ID=6700, (HW Video Decode)
  CAYMAN (CAYMAN_6701), PCI_ID=6701, (HW Video Decode)
  CAYMAN (CAYMAN_6702), PCI_ID=6702, (HW Video Decode)
  CAYMAN (CAYMAN_6703), PCI_ID=6703, (HW Video Decode)
  CAYMAN (CAYMAN_6704), PCI_ID=6704, (HW Video Decode)
  CAYMAN (CAYMAN_6705), PCI_ID=6705, (HW Video Decode)
  CAYMAN (CAYMAN_6706), PCI_ID=6706, (HW Video Decode)
  CAYMAN (CAYMAN_6707), PCI_ID=6707, (HW Video Decode)
  CAYMAN (CAYMAN_6708), PCI_ID=6708, (HW Video Decode)
  CAYMAN (CAYMAN_6709), PCI_ID=6709, (HW Video Decode)
  CAYMAN (CAYMAN_6718), PCI_ID=6718, (HW Video Decode)
  CAYMAN (CAYMAN_6719), PCI_ID=6719, (HW Video Decode)
  CAYMAN (CAYMAN_671C), PCI_ID=671c, (HW Video Decode)
  CAYMAN (CAYMAN_671D), PCI_ID=671d, (HW Video Decode)
  CAYMAN (CAYMAN_671F), PCI_ID=671f, (HW Video Decode)
  BARTS (BARTS_6720), PCI_ID=6720, (HW Video Decode)
  BARTS (BARTS_6721), PCI_ID=6721, (HW Video Decode)
  BARTS (BARTS_6722), PCI_ID=6722, (HW Video Decode)
  BARTS (BARTS_6723), PCI_ID=6723, (HW Video Decode)
  BARTS (BARTS_6724), PCI_ID=6724, (HW Video Decode)
  BARTS (BARTS_6725), PCI_ID=6725, (HW Video Decode)
  BARTS (BARTS_6726), PCI_ID=6726, (HW Video Decode)
  BARTS (BARTS_6727), PCI_ID=6727, (HW Video Decode)
  BARTS (BARTS_6728), PCI_ID=6728, (HW Video Decode)
  BARTS (BARTS_6729), PCI_ID=6729, (HW Video Decode)
  BARTS (BARTS_6738), PCI_ID=6738, (HW Video Decode)
  BARTS (BARTS_6739), PCI_ID=6739, (HW Video Decode)
  BARTS (BARTS_673E), PCI_ID=673e, (HW Video Decode)
  TURKS (TURKS_6740), PCI_ID=6740, (HW Video Decode)
  TURKS (TURKS_6741), PCI_ID=6741, (HW Video Decode)
  TURKS (TURKS_6742), PCI_ID=6742, (HW Video Decode)
  TURKS (TURKS_6743), PCI_ID=6743, (HW Video Decode)
  TURKS (TURKS_6744), PCI_ID=6744, (HW Video Decode)
  TURKS (TURKS_6745), PCI_ID=6745, (HW Video Decode)
  TURKS (TURKS_6746), PCI_ID=6746, (HW Video Decode)
  TURKS (TURKS_6747), PCI_ID=6747, (HW Video Decode)
  TURKS (TURKS_6748), PCI_ID=6748, (HW Video Decode)
  TURKS (TURKS_6749), PCI_ID=6749, (HW Video Decode)
  TURKS (TURKS_674A), PCI_ID=674a, (HW Video Decode)
  TURKS (TURKS_6750), PCI_ID=6750, (HW Video Decode)
  TURKS (TURKS_6751), PCI_ID=6751, (HW Video Decode)
  TURKS (TURKS_6758), PCI_ID=6758, (HW Video Decode)
  TURKS (TURKS_6759), PCI_ID=6759, (HW Video Decode)
  TURKS (TURKS_675B), PCI_ID=675b, (HW Video Decode)
  TURKS (TURKS_675D), PCI_ID=675d, (HW Video Decode)
  TURKS (TURKS_675F), PCI_ID=675f, (HW Video Decode)
  TURKS (TURKS_6840), PCI_ID=6840, (HW Video Decode)
  TURKS (TURKS_6841), PCI_ID=6841, (HW Video Decode)
  TURKS (TURKS_6842), PCI_ID=6842, (HW Video Decode)
  TURKS (TURKS_6843), PCI_ID=6843, (HW Video Decode)
  TURKS (TURKS_6849), PCI_ID=6849, (HW Video Decode)
  TURKS (TURKS_6850), PCI_ID=6850, (HW Video Decode)
  TURKS (TURKS_6858), PCI_ID=6858, (HW Video Decode)
  TURKS (TURKS_6859), PCI_ID=6859, (HW Video Decode)
  CAICOS (CAICOS_6760), PCI_ID=6760, (HW Video Decode)
  CAICOS (CAICOS_6761), PCI_ID=6761, (HW Video Decode)
  CAICOS (CAICOS_6762), PCI_ID=6762, (HW Video Decode)
  CAICOS (CAICOS_6763), PCI_ID=6763, (HW Video Decode)
  CAICOS (CAICOS_6764), PCI_ID=6764, (HW Video Decode)
  CAICOS (CAICOS_6765), PCI_ID=6765, (HW Video Decode)
  CAICOS (CAICOS_6766), PCI_ID=6766, (HW Video Decode)
  CAICOS (CAICOS_6767), PCI_ID=6767, (HW Video Decode)
  CAICOS (CAICOS_6768), PCI_ID=6768, (HW Video Decode)
  CAICOS (CAICOS_6770), PCI_ID=6770, (HW Video Decode)
  CAICOS (CAICOS_6771), PCI_ID=6771, (HW Video Decode)
  CAICOS (CAICOS_6772), PCI_ID=6772, (HW Video Decode)
  CAICOS (CAICOS_6778), PCI_ID=6778, (HW Video Decode)
  CAICOS (CAICOS_6779), PCI_ID=6779, (HW Video Decode)
  CAICOS (CAICOS_677B), PCI_ID=677b, (HW Video Decode)
  ARUBA (ARUBA_9900), PCI_ID=9900, (HW Video Decode)
  ARUBA (ARUBA_9901), PCI_ID=9901, (HW Video Decode)
  ARUBA (ARUBA_9903), PCI_ID=9903, (HW Video Decode)
  ARUBA (ARUBA_9904), PCI_ID=9904, (HW Video Decode)
  ARUBA (ARUBA_9905), PCI_ID=9905, (HW Video Decode)
  ARUBA (ARUBA_9906), PCI_ID=9906, (HW Video Decode)
  ARUBA (ARUBA_9907), PCI_ID=9907, (HW Video Decode)
  ARUBA (ARUBA_9908), PCI_ID=9908, (HW Video Decode)
  ARUBA (ARUBA_9909), PCI_ID=9909, (HW Video Decode)
  ARUBA (ARUBA_990A), PCI_ID=990a, (HW Video Decode)
  ARUBA (ARUBA_990B), PCI_ID=990b, (HW Video Decode)
  ARUBA (ARUBA_990C), PCI_ID=990c, (HW Video Decode)
  ARUBA (ARUBA_990D), PCI_ID=990d, (HW Video Decode)
  ARUBA (ARUBA_990E), PCI_ID=990e, (HW Video Decode)
  ARUBA (ARUBA_990F), PCI_ID=990f, (HW Video Decode)
  ARUBA (ARUBA_9910), PCI_ID=9910, (HW Video Decode)
  ARUBA (ARUBA_9913), PCI_ID=9913, (HW Video Decode)
  ARUBA (ARUBA_9917), PCI_ID=9917, (HW Video Decode)
  ARUBA (ARUBA_9918), PCI_ID=9918, (HW Video Decode)
  ARUBA (ARUBA_9919), PCI_ID=9919, (HW Video Decode)
  ARUBA (ARUBA_9990), PCI_ID=9990, (HW Video Decode)
  ARUBA (ARUBA_9991), PCI_ID=9991, (HW Video Decode)
  ARUBA (ARUBA_9992), PCI_ID=9992, (HW Video Decode)
  ARUBA (ARUBA_9993), PCI_ID=9993, (HW Video Decode)
  ARUBA (ARUBA_9994), PCI_ID=9994, (HW Video Decode)
  ARUBA (ARUBA_9995), PCI_ID=9995, (HW Video Decode)
  ARUBA (ARUBA_9996), PCI_ID=9996, (HW Video Decode)
  ARUBA (ARUBA_9997), PCI_ID=9997, (HW Video Decode)
  ARUBA (ARUBA_9998), PCI_ID=9998, (HW Video Decode)
  ARUBA (ARUBA_9999), PCI_ID=9999, (HW Video Decode)
  ARUBA (ARUBA_999A), PCI_ID=999a, (HW Video Decode)
  ARUBA (ARUBA_999B), PCI_ID=999b, (HW Video Decode)
  ARUBA (ARUBA_999C), PCI_ID=999c, (HW Video Decode)
  ARUBA (ARUBA_999D), PCI_ID=999d, (HW Video Decode)
  ARUBA (ARUBA_99A0), PCI_ID=99a0, (HW Video Decode)
  ARUBA (ARUBA_99A2), PCI_ID=99a2, (HW Video Decode)
  ARUBA (ARUBA_99A4), PCI_ID=99a4, (HW Video Decode)
  TAHITI (TAHITI_6780), PCI_ID=6780, (HW Video Decode)
  TAHITI (TAHITI_6784), PCI_ID=6784, (HW Video Decode)
  TAHITI (TAHITI_6788), PCI_ID=6788, (HW Video Decode)
  TAHITI (TAHITI_678A), PCI_ID=678a, (HW Video Decode)
  TAHITI (TAHITI_6790), PCI_ID=6790, (HW Video Decode)
  TAHITI (TAHITI_6791), PCI_ID=6791, (HW Video Decode)
  TAHITI (TAHITI_6792), PCI_ID=6792, (HW Video Decode)
  TAHITI (TAHITI_6798), PCI_ID=6798, (HW Video Decode)
  TAHITI (TAHITI_6799), PCI_ID=6799, (HW Video Decode)
  TAHITI (TAHITI_679A), PCI_ID=679a, (HW Video Decode)
  TAHITI (TAHITI_679B), PCI_ID=679b, (HW Video Decode)
  TAHITI (TAHITI_679E), PCI_ID=679e, (HW Video Decode)
  TAHITI (TAHITI_679F), PCI_ID=679f, (HW Video Decode)
  PITCAIRN (PITCAIRN_6800), PCI_ID=6800, (HW Video Decode)
  PITCAIRN (PITCAIRN_6801), PCI_ID=6801, (HW Video Decode)
  PITCAIRN (PITCAIRN_6802), PCI_ID=6802, (HW Video Decode)
  PITCAIRN (PITCAIRN_6806), PCI_ID=6806, (HW Video Decode)
  PITCAIRN (PITCAIRN_6808), PCI_ID=6808, (HW Video Decode)
  PITCAIRN (PITCAIRN_6809), PCI_ID=6809, (HW Video Decode)
  PITCAIRN (PITCAIRN_6810), PCI_ID=6810, (HW Video Decode)
  PITCAIRN (PITCAIRN_6811), PCI_ID=6811, (HW Video Decode)
  PITCAIRN (PITCAIRN_6816), PCI_ID=6816, (HW Video Decode)
  PITCAIRN (PITCAIRN_6817), PCI_ID=6817, (HW Video Decode)
  PITCAIRN (PITCAIRN_6818), PCI_ID=6818, (HW Video Decode)
  PITCAIRN (PITCAIRN_6819), PCI_ID=6819, (HW Video Decode)
  PITCAIRN (PITCAIRN_684C), PCI_ID=684c, (HW Video Decode)
  VERDE (VERDE_6820), PCI_ID=6820, (HW Video Decode)
  VERDE (VERDE_6821), PCI_ID=6821, (HW Video Decode)
  VERDE (VERDE_6822), PCI_ID=6822, (HW Video Decode)
  VERDE (VERDE_6823), PCI_ID=6823, (HW Video Decode)
  VERDE (VERDE_6824), PCI_ID=6824, (HW Video Decode)
  VERDE (VERDE_6825), PCI_ID=6825, (HW Video Decode)
  VERDE (VERDE_6826), PCI_ID=6826, (HW Video Decode)
  VERDE (VERDE_6827), PCI_ID=6827, (HW Video Decode)
