-------------------------------------------------------------------------------
NVIDIA devices
-------------------------------------------------------------------------------
  GeForce 9300M GS, PCI_ID=06e5, (HW Video Decode)
  GeForce G100, PCI_ID=06e6, (HW Video Decode)
  GeForce 9300 SE, PCI_ID=06e7
  GeForce 9200M GS, PCI_ID=06e8, (HW Video Decode)
  GeForce 9300M GS, PCI_ID=06e9, (HW Video Decode)
  GeForce G 105M, PCI_ID=06ec, (HW Video Decode)
  GeForce G 103M, PCI_ID=06ef, (HW Video Decode)
  GeForce G105M, PCI_ID=06f1, (HW Video Decode)
  GeForce 8200M, PCI_ID=0840, (HW Video Decode)
  GeForce 9100M G, PCI_ID=0844, (HW Video Decode)
  GeForce 8200M G, PCI_ID=0845, (HW Video Decode)
  GeForce 9200, PCI_ID=0846, (HW Video Decode)
  GeForce 9100, PCI_ID=0847, (HW Video Decode)
  GeForce 8300, PCI_ID=0848, (HW Video Decode)
  GeForce 8200, PCI_ID=0849, (HW Video Decode)
  nForce 730a, PCI_ID=084a, (HW Video Decode)
  GeForce 9200, PCI_ID=084b, (HW Video Decode)
  nForce 980a/780a SLI, PCI_ID=084c, (HW Video Decode)
  nForce 750a SLI, PCI_ID=084d, (HW Video Decode)
  GeForce 8100 / nForce 720a, PCI_ID=084f
  GeForce 9400, PCI_ID=0860, (HW Video Decode)
  GeForce 9400, PCI_ID=0861, (HW Video Decode)
  GeForce 9400M G, PCI_ID=0862, (HW Video Decode)
  GeForce 9400M, PCI_ID=0863, (HW Video Decode)
  GeForce 9300, PCI_ID=0864, (HW Video Decode)
  ION, PCI_ID=0865, (HW Video Decode)
  GeForce 9400M G, PCI_ID=0866, (HW Video Decode)
  GeForce 9400, PCI_ID=0867, (HW Video Decode)
  nForce 760i SLI, PCI_ID=0868, (HW Video Decode)
  GeForce 9400, PCI_ID=0869, (HW Video Decode)
  GeForce 9400, PCI_ID=086a, (HW Video Decode)
  GeForce 9300 / nForce 730i, PCI_ID=086c, (HW Video Decode)
  GeForce 9200, PCI_ID=086d, (HW Video Decode)
  GeForce 9100M G, PCI_ID=086e, (HW Video Decode)
  GeForce 8200M G, PCI_ID=086f, (HW Video Decode)
  GeForce 9400M, PCI_ID=0870, (HW Video Decode)
  GeForce 9200, PCI_ID=0871, (HW Video Decode)
  GeForce G102M, PCI_ID=0872, (HW Video Decode)
  GeForce G102M, PCI_ID=0873, (HW Video Decode)
  ION, PCI_ID=0874, (HW Video Decode)
  ION, PCI_ID=0876, (HW Video Decode)
  GeForce 9400, PCI_ID=087a, (HW Video Decode)
  ION, PCI_ID=087d, (HW Video Decode)
  ION LE, PCI_ID=087e, (HW Video Decode)
  ION LE, PCI_ID=087f, (HW Video Decode)
  GeForce 320M, PCI_ID=08a0, (HW Video Decode)
  GeForce 320M, PCI_ID=08a2, (HW Video Decode)
  GeForce 320M, PCI_ID=08a3, (HW Video Decode)
  GeForce 320M, PCI_ID=08a4, (HW Video Decode)
  GeForce 320M, PCI_ID=08a5, (HW Video Decode)
  GeForce GT 220, PCI_ID=0a20, (HW Video Decode)
  GeForce 315, PCI_ID=0a22
  GeForce 210, PCI_ID=0a23, (HW Video Decode)
  GeForce 405, PCI_ID=0a26, (HW Video Decode)
  GeForce 405, PCI_ID=0a27, (HW Video Decode)
  GeForce GT 230M, PCI_ID=0a28, (HW Video Decode)
  GeForce GT 330M, PCI_ID=0a29, (HW Video Decode)
  GeForce GT 230M, PCI_ID=0a2a, (HW Video Decode)
  GeForce GT 330M, PCI_ID=0a2b, (HW Video Decode)
  GeForce GT 320M, PCI_ID=0a2d, (HW Video Decode)
  GeForce GT 415, PCI_ID=0a32, (HW Video Decode)
  GeForce GT 240M, PCI_ID=0a34, (HW Video Decode)
  GeForce GT 325M, PCI_ID=0a35, (HW Video Decode)
  GeForce G210, PCI_ID=0a60, (HW Video Decode)
  GeForce 205, PCI_ID=0a62, (HW Video Decode)
  GeForce 310, PCI_ID=0a63, (HW Video Decode)
  Second Generation ION, PCI_ID=0a64, (HW Video Decode)
  GeForce 210, PCI_ID=0a65, (HW Video Decode)
  GeForce 310, PCI_ID=0a66, (HW Video Decode)
  GeForce 315, PCI_ID=0a67
  GeForce G105M, PCI_ID=0a68, (HW Video Decode)
  GeForce G105M, PCI_ID=0a69, (HW Video Decode)
  GeForce 305M, PCI_ID=0a6e, (HW Video Decode)
  Second Generation ION, PCI_ID=0a6f, (HW Video Decode)
  GeForce 310M, PCI_ID=0a70, (HW Video Decode)
  GeForce 305M, PCI_ID=0a71, (HW Video Decode)
  GeForce 310M, PCI_ID=0a72, (HW Video Decode)
  GeForce 305M, PCI_ID=0a73, (HW Video Decode)
  GeForce G210M, PCI_ID=0a74, (HW Video Decode)
  GeForce 310M, PCI_ID=0a75, (HW Video Decode)
  Second Generation ION, PCI_ID=0a76, (HW Video Decode)
  GeForce 315M, PCI_ID=0a7a, (HW Video Decode)
  GeForce GT 330, PCI_ID=0ca0, (HW Video Decode)
  GeForce GT 320, PCI_ID=0ca2, (HW Video Decode)
  GeForce GT 240, PCI_ID=0ca3, (HW Video Decode)
  GeForce GT 340, PCI_ID=0ca4, (HW Video Decode)
  GeForce GT 220, PCI_ID=0ca5, (HW Video Decode)
  GeForce GT 330, PCI_ID=0ca7, (HW Video Decode)
